state_code,g2020_vr_deadline,g2020_online_vr_deadline,g2020_runoff_vr_deadline,g2020_runoff_online_vr_deadline,notes
AL,2020-10-19,,,,
AK,2020-10-04,2020-10-04,,,
AZ,2020-10-05,2020-10-05,,,
AR,2020-10-05,,,,
CA,2020-11-03,2020-10-19,,,
CO,2020-11-03,2020-10-26,,,Voters can register at a polling center up to and including Election Day.
CT,2020-11-03,2020-10-27,,,
DE,2020-10-10,2020-10-10,,,
FL,2020-10-05,2020-10-05,,,
GA,2020-10-05,2020-10-05,,,
HI,2020-11-03,2020-10-05,,,
ID,2020-11-03,2020-10-09,,,If a voter has not registered prior to Election Day he or she may do so at the polling place.
IL,2020-11-03,2020-10-18,,,"Voters in Illinois can register to vote on any day, including Election Day"
IN,2020-10-05,2020-10-05,,,
IA,2020-11-03,2020-10-24,,,"You may register and vote on election day. To do so, you first must go to the correct polling place for your current address on election day."
KS,2020-10-13,2020-10-13,,,
KY,2020-10-05,2020-10-05,,,
LA,2020-10-05,2020-10-13,,,Online voter registration deadline is 2020-10-13
ME,2020-11-03,,,,Voters can register on election day at a local election office or city hall. The deadline to register by mail or through a voter registration drive is the close of business on the 21st day before the election: 2020-10-13
MD,2020-11-03,2020-10-13,,,
MA,2020-10-24,2020-10-24,,,
MI,2020-11-03,2020-10-19,,,
MN,2020-11-03,2020-10-13,,,"The deadline to register online is 11:59 p.m., 21 days before Election Day. The deadline to register on paper is 5 p.m., 21 days before Election Day. Otherwise, you can register on Election Day at your polling place."
MS,2020-10-05,,,,10/5/2020 is the deadline to register to vote by mail
MO,2020-10-07,2020-10-07,,,
MT,2020-11-03,,,,"Mail-in registration must be postmarked by Monday, October 26, 2020."
NE,2020-10-23,2020-10-16,,,
NV,2020-10-06,2020-10-29,,,In-person deadline is 2020-10-06; online voter registration deadline is 2020-10-29
NH,2020-11-03,,,,"GENERAL ELECTION DAY- November 3, 2020 - unregistered voters may register and vote on this day."
NJ,2020-10-13,,,,
NM,2020-10-31,2020-10-06,,,
NY,2020-10-09,2020-10-09,,,
NC,2020-10-31,2020-10-09,,,
ND,,,,,Voters do not register in North Dakota
OH,2020-10-05,2020-10-05,,,
OK,2020-10-09,,,,
OR,2020-10-13,2020-10-13,,,
PA,2020-10-19,2020-10-19,,,
RI,2020-10-04,2020-10-04,,,
SC,2020-10-02,2020-10-04,,,
SD,2020-10-19,,,,
TN,2020-10-05,2020-10-05,,,
TX,2020-10-05,,,,
UT,2020-11-03,2020-10-23,,,
VT,2020-11-03,2020-10-30,,,"There is no deadline to register, you may register to vote up to and including the day of the election. However, if you register online the day before the election or on Election Day, your application may not be processed and your name may not appear on the checklist and you may be asked to fill out another application at the polls. To be sure your name appears on the checklist, please register by the Friday before the election."
VA,2020-10-13,2020-10-13,,,
WA,2020-11-03,2020-10-26,,,
WV,2020-10-13,2020-10-13,,,
WI,2020-11-03,2020-10-14,,,"Online: up to 20 days before the election. At the polling place on Election Day: you may register at the polls on Election Day."
WY,2020-11-03,,,,"Mail-in registration must be received by Monday, October 19. You can register at the polls on Election Day"
AS,2020-10-05,,,,
DC,2020-11-03,,,,If otherwise qualified you may register at your precinctâ€™s polling place on Election Day and cast a regular ballot that same day.
FM,,,,,
GU,2020-10-23,2020-10-13,,,
MH,,,,,
MP,2020-09-04,,,,
PW,,,,,
PR,,,,,
VI,2020-10-04,,,,
